商品编码,商品名称,SKUID,SKU属性,京东价,京东分类,品牌,链接,商品货号,商家SKU,库存,商品状态
10054143527,【欧宝_手剥巴旦木480g袋】零食坚果炒货干果特产奶香味壳薄易剥,10280401763, ,40,食品饮料 > 地方特产 > 其他特产,欧宝（oubao）,http://item.jd.com/10280401763.html,"	","	",10000,自主下架
10054158002,欧宝 坚果炒货 休闲零食特产 开心果480g/袋 奶油味无漂白,10280508837, ,56,食品饮料 > 地方特产 > 其他特产,欧宝（oubao）,http://item.jd.com/10280508837.html,"	","	",9998,自主下架
10054161634,【欧宝_开心果480g】地方特产 原味开心果 无漂白 东兴特产,10280562531, ,56,食品饮料 > 地方特产 > 其他特产,欧宝（oubao）,http://item.jd.com/10280562531.html,"	","	",9999,上架
10076777011,【东兴馆】红心火龙果2.5kg 新鲜火龙果5斤装 红肉火龙果 新鲜水果,10360259251, ,79,食品饮料 > 地方特产 > 其他特产,水果蔬菜,http://item.jd.com/10360259251.html,"	","	",9998,自主下架
10083922329,【鑫宇】益朵金花茶亚克力礼盒装,10386446458, ,1899,食品饮料 > 地方特产 > 其他特产,益朵,http://item.jd.com/10386446458.html,"	","	",10000,上架
10083922257,【鑫宇】益朵金花茶尊贵红木礼盒装15g,10386461154, ,2899,食品饮料 > 地方特产 > 其他特产,益朵,http://item.jd.com/10386461154.html,"	","	10386495063",10000,上架
10083922199,【鑫宇】益朵金花茶一花一叶礼盒套装,10386495063, ,648,食品饮料 > 地方特产 > 其他特产,益朵,http://item.jd.com/10386495063.html,"	","	",9997,上架
10083930150,【鑫宇】益朵金花茶圆装玻璃瓶礼盒装,10386512731, ,1200,食品饮料 > 地方特产 > 其他特产,益朵,http://item.jd.com/10386512731.html,"	","	",9999,上架
10083931973,【鑫宇】益朵金花茶叶子套装礼盒装,10386538647, ,249,食品饮料 > 地方特产 > 其他特产,益朵,http://item.jd.com/10386538647.html,"	","	",9995,上架
10091751860,东兴馆 翡翠红心青柚 2个装 约2kg  蜜甜可口 新鲜发货,10419959289, ,89,生鲜 > 水果 > 柚子,水果蔬菜,http://item.jd.com/10419959289.html,"	","	",997,自主下架
10098346281,东兴馆 广西红心火龙果6个装 国产红肉火龙果 新鲜水果,10454099244, ,50,生鲜 > 水果 > 火龙果,水果蔬菜,http://item.jd.com/10454099244.html,"	","	",9957,自主下架
10108537796,东兴馆 广西红心火龙果2个装 国产红肉火龙果 新鲜水果,10509549255, ,19,生鲜 > 水果 > 火龙果,水果蔬菜,http://item.jd.com/10509549255.html,"	","	",9466,自主下架
10130969754,东兴馆 红木纸巾盒 龙凤素面抽纸盒120 抽 复古实木收纳盒 个性定制餐巾盒,10665420882,龙凤素面磁铁盖扣,56,礼品箱包 > 礼品 > 工艺礼品,东起,http://item.jd.com/10665420882.html,"	","	",990,上架
10131142144,东兴馆 红木纸巾盒 龙凤木雕镂空抽纸盒150 抽 家用复古实木收纳盒  个性定制餐巾盒,10665432564,花梨木纸巾盒龙凤镂空木雕磁铁盖扣,59,礼品箱包 > 礼品 > 工艺礼品,东起,http://item.jd.com/10665432564.html,"	","	",979,上架
10130969754,东兴馆 红木纸巾盒 龙凤素面抽纸盒120 抽 复古实木收纳盒 个性定制餐巾盒,10665435969,龙凤镂空木雕磁铁盖扣,56,礼品箱包 > 礼品 > 工艺礼品,东起,http://item.jd.com/10665435969.html,"	","	",975,上架
10130969754,东兴馆 红木纸巾盒 龙凤素面抽纸盒120 抽 复古实木收纳盒 个性定制餐巾盒,10665504682,贝花木雕镂空梅花锁扣,55,礼品箱包 > 礼品 > 工艺礼品,东起,http://item.jd.com/10665504682.html,"	","	",999,上架
10131153866,东兴馆 红木纸巾盒 贝壳花纹木雕镂空抽纸盒120 抽 家用复古实木收纳盒  个性定制餐巾盒,10665509329, ,55,礼品箱包 > 礼品 > 工艺礼品,东起,http://item.jd.com/10665509329.html,"	","	",983,上架
10132223871,东兴馆 狮头香插香座  线香塔香纯铜熏香炉 多功能点香器 棕色香托,10674522146, ,15,礼品箱包 > 礼品 > 熏香,东起,http://item.jd.com/10674522146.html,"	","	",991,上架
10131673532,东兴馆 葫芦香插香座  线香盘香铜香炉 多功能点香器 金黄色香托,10674622313,葫芦香插金黄色,10,礼品箱包 > 礼品 > 熏香,东起,http://item.jd.com/10674622313.html,"	","	10670055649",784,上架
10131673532,东兴馆 葫芦香插香座  线香盘香铜香炉 多功能点香器 金黄色香托,10674622314,小狮头香插金黄色,10,礼品箱包 > 礼品 > 熏香,东起,http://item.jd.com/10674622314.html,"	","	10674549355",999,上架
10131673532,东兴馆 葫芦香插香座  线香盘香铜香炉 多功能点香器 金黄色香托,10674622315,小狮头香插棕色,10,礼品箱包 > 礼品 > 熏香,东起,http://item.jd.com/10674622315.html,"	","	10674522146",999,上架
10132085025,东兴馆 狮头香插香座  线香塔香铜香炉 多功能点香器 金黄色香托,10674703143,小狮头香插金黄色,10,礼品箱包 > 礼品 > 熏香,东起,http://item.jd.com/10674703143.html,"	","	",0,上架
10132085025,东兴馆 狮头香插香座  线香塔香铜香炉 多功能点香器 金黄色香托,10674703144,小狮头香插棕色,10,礼品箱包 > 礼品 > 熏香,东起,http://item.jd.com/10674703144.html,"	","	",1000,上架
10132695638,东兴馆 莲花荷叶香炉香座 陶瓷香炉 沉香线香盘香香插香器 含底座,10678871823, ,49,礼品箱包 > 礼品 > 熏香,东起,http://item.jd.com/10678871823.html,"	","	",999,上架
10132752645,东兴馆 沉香线香 熏香线香  红木礼盒10克装 香薰礼盒卧室香薰 21cm沉香线香,10679382251,红木礼盒+10g沉香线香21cm,119,礼品箱包 > 礼品 > 熏香,东起,http://item.jd.com/10679382251.html,"	","	",9998,上架
10132752645,东兴馆 沉香线香 熏香线香  红木礼盒10克装 香薰礼盒卧室香薰 21cm沉香线香,10679382252,红木礼盒+20g沉香线香21cm,188,礼品箱包 > 礼品 > 熏香,东起,http://item.jd.com/10679382252.html,"	","	",9994,上架
10135783483,东兴馆 红木杯垫 直径9CM 花梨木实木茶垫 碗垫 隔热垫  茶具杯托 6片一套,10696004895,直径9CM方形透雕花梨木杯垫,30,礼品箱包 > 礼品 > 工艺礼品,东起,http://item.jd.com/10696004895.html,"	","	",1000,上架
10135783483,东兴馆 红木杯垫 直径9CM 花梨木实木茶垫 碗垫 隔热垫  茶具杯托 6片一套,10696004896,直径9CM方形印花花梨木杯垫,35,礼品箱包 > 礼品 > 工艺礼品,东起,http://item.jd.com/10696004896.html,"	","	",1000,上架
10135783483,东兴馆 红木杯垫 直径9CM 花梨木实木茶垫 碗垫 隔热垫  茶具杯托 6片一套,10696004897,直径9CM圆形印花花梨木杯垫,32,礼品箱包 > 礼品 > 工艺礼品,东起,http://item.jd.com/10696004897.html,"	","	",999,上架
10135783483,东兴馆 红木杯垫 直径9CM 花梨木实木茶垫 碗垫 隔热垫  茶具杯托 6片一套,10696004898,直径9CM梅花形透雕花梨木杯垫,25,礼品箱包 > 礼品 > 工艺礼品,东起,http://item.jd.com/10696004898.html,"	","	",999,上架
10135783483,东兴馆 红木杯垫 直径9CM 花梨木实木茶垫 碗垫 隔热垫  茶具杯托 6片一套,10696004899,直径9CM方形印花鸡翅木杯垫,32,礼品箱包 > 礼品 > 工艺礼品,东起,http://item.jd.com/10696004899.html,"	","	",1000,上架
10139754701,东兴馆 天然沉香佛珠手串  天然马来西亚原料 男女款DIY念珠手串,10716874011,西马入门级10mm 15颗橙色琉璃,159,珠宝首饰 > 木手串/把件 > 沉香木,东起,http://item.jd.com/10716874011.html,"	","	",100,上架
10139754701,东兴馆 天然沉香佛珠手串  天然马来西亚原料 男女款DIY念珠手串,10716874012,西马入门级10mm 16颗橙色圆琉璃,159,珠宝首饰 > 木手串/把件 > 沉香木,东起,http://item.jd.com/10716874012.html,"	","	",100,上架
10139754701,东兴馆 天然沉香佛珠手串  天然马来西亚原料 男女款DIY念珠手串,10716874013,西马入门级10mm 14颗配仿绿松,159,珠宝首饰 > 木手串/把件 > 沉香木,东起,http://item.jd.com/10716874013.html,"	","	",100,上架
